ticker,date,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,num_articles,sentiment_range,close,volume,momentum_5d,momentum_10d,momentum_20d,volatility_10d,volatility_20d,price_vs_ma10,price_vs_ma20,volume_change,volume_ma_ratio,day_of_week,day_of_month,month,is_month_start,is_month_end,target,target_direction
QCOM,2026-02-04,-0.052830510772764655,0.01460842564904081,-0.0631602276116609,-0.0425007939338684,2,0.0206594336777925,148.88999938964844,19249300,-0.024950868596841924,-0.04783523668932377,-0.1839407953956509,0.013560810892422382,0.016813623171430144,-0.024554826440545185,-0.06843898009460192,0.6086124481882604,1.954448028575577,2,4,2,1,0,,0
RTX,2026-01-27,-0.030262691900134,0.0,-0.030262691900134,-0.030262691900134,1,0.0,201.27999877929688,10134500,0.025056010153047037,0.03832856560145603,0.08700113824947575,0.017813538960010516,0.015874871967320382,0.018515236992071582,0.045827707236225645,0.5170044606771846,1.7748717598454637,1,27,1,0,1,,0
RTX,2026-02-06,-0.0068550612777471,0.0,-0.0068550612777471,-0.0068550612777471,1,0.0,198.66000366210938,4350900,-0.011297412513893379,0.01393360428918955,0.06138807290468007,0.0182046114928744,0.016600806861285344,-0.002530566764211817,0.004655130780013117,-0.21439791993933155,0.5744619329352101,4,6,2,0,0,,0
SBUX,2025-03-31,0.7223554253578186,0.0,0.7223554253578186,0.7223554253578186,1,0.0,96.0717544555664,11302900,0.024759709988584122,-0.009991973683682986,-0.15007368834907386,0.013049789896040448,0.021111224588009396,0.0029036962872455163,-0.02222400089320753,0.4012670154471747,1.361034313347719,0,31,3,0,1,,0
SBUX,2025-06-30,0.6914477497339249,0.0,0.6914477497339249,0.6914477497339249,1,0.0,90.37645721435547,10083300,-0.007688975625022465,-0.017478054249027153,0.09148305241306964,0.009417063236041724,0.01562491414019816,-0.0050923303398813236,0.00549217351300757,-0.5308259971337639,1.0894587227035666,0,30,6,0,1,,0
SBUX,2025-09-30,0.7287728264927864,0.0,0.7287728264927864,0.7287728264927864,1,0.0,83.99319458007812,7574200,-0.01272038268133957,0.0027259660447862544,-0.05769666633570825,0.013656441188232877,0.013733562067472296,0.0024765071288601614,0.0036955832153386936,-0.3251060341447767,0.8430202791443137,1,30,9,0,1,,0
SBUX,2025-12-31,0.6480924338102341,0.0,0.6480924338102341,0.6480924338102341,1,0.0,84.20999908447266,5293400,0.004173604478580062,-0.010225702019960203,-0.011619693652934582,0.021617741653178525,0.018396791574661203,-0.018153843969661243,-0.012205218984465915,0.16581874242924788,0.6473689552990843,2,31,12,0,1,,0
SBUX,2026-01-28,-0.055773325264453846,0.03350467410222761,-0.0794647075235843,-0.0320819430053234,2,0.04738276451826089,95.16000366210938,25961600,-0.013170140402853914,0.05079512177039702,0.11207203460893811,0.014549391073614665,0.016732643440746348,0.0036175191630027914,0.04462951435590967,0.582676973347314,1.8492630115343878,2,28,1,0,1,,0
SCHW,2026-01-21,-0.0386295542120933,0.0,-0.0386295542120933,-0.0386295542120933,1,0.0,101.79000091552734,17879500,0.006028865472541112,-0.01718643221533034,0.03005465725435208,0.014033117845993336,0.013279966022324265,9.826462306938843e-05,0.00050129229295659,0.3776457625420895,1.9172143426226467,2,21,1,0,0,,0
SCHW,2026-01-29,-0.0399366412311792,0.0,-0.0399366412311792,-0.0399366412311792,1,0.0,103.47000122070312,10033900,-0.005574260586673652,0.015208036495335087,0.02904025937664323,0.014486949318593243,0.013501258987311214,0.0053537267971066616,0.011229375470632075,0.33234630195193193,0.9460971923244107,3,29,1,0,1,,0
SCHW,2026-02-05,0.10639939603528806,0.8553770043936377,-0.9563446789979936,0.937356784939766,14,1.8937014639377596,102.0,9683400,-0.014207028156572599,-0.01970209506613929,0.0006867428099150974,0.010979056176839995,0.012903579012707065,-0.013997373859277462,-0.007009346531923422,-0.10170041837899013,0.9927538014861473,3,5,2,1,0,,0
SCHW,2026-02-06,0.33319841014842183,0.5161823920918125,0.0160418022423982,0.9288156442344188,3,0.9127738419920206,105.08000183105469,7527600,0.011162468076871379,0.028381302771752104,0.03690552228454824,0.013449076942872673,0.014453042020947608,0.012936448904517395,0.02111616773097813,-0.22262841563913505,0.7812303786906224,4,6,2,0,0,,0
SCHW,2026-02-09,0.20011367174712094,0.8405956730872644,-0.9393861927092076,0.9376074522733688,11,1.8769936449825764,107.20999908447266,10177800,0.019397175535272648,0.041480440468193214,0.07028053353513863,0.014502833993503604,0.01464343842230109,0.029232457422591507,0.03826299569591152,0.35206440299697106,1.0262351514124874,0,9,2,0,0,,0
SLB,2026-01-23,-0.03538569994270795,0.02927481375149633,-0.0560861192643642,-0.0146852806210517,2,0.0414008386433125,49.150001525878906,43516200,0.05540051208850305,0.10623455296607953,0.2866492289068965,0.016521143993345283,0.027127770119597865,0.045833705500894606,0.12345427115470176,0.9113717222295428,1.9038464819733483,4,23,1,0,0,,0
T,2026-02-05,-0.0571935977786779,0.0,-0.0571935977786779,-0.0571935977786779,1,0.0,27.309999465942383,44672400,0.08674892073133189,0.15818488355830684,0.15269845888030265,0.022940629256822675,0.018812082620294594,0.0789775122154035,0.11671782735389935,-0.14825838015722148,0.7287539743261386,3,5,2,1,0,,0
T,2026-02-09,-0.0243083592504262,0.0,-0.0243083592504262,-0.0243083592504262,1,0.0,27.110000610351562,33056800,0.030798532197278794,0.15607674747697242,0.14330299985110906,0.02309239571996309,0.01886172345317903,0.04145061900245506,0.09369645260545068,-0.11637405641212073,0.5481770932657901,0,9,2,0,0,,0
TGT,2025-01-31,0.7566828727722168,0.0,0.7566828727722168,0.7566828727722168,1,0.0,132.08287048339844,4056400,0.0001451196526556231,0.03497182672790511,0.02019545947189494,0.016761316380347828,0.016625947120729408,-0.003439609121265952,-1.4474992763413574e-05,0.45286532951289393,0.8448791542044006,4,31,1,0,1,,0
TGT,2025-04-30,0.7117616534233093,0.0,0.7117616534233093,0.7117616534233093,1,0.0,93.40393829345703,8255300,0.04937594457747396,0.05017366159621117,-0.07402096950570802,0.01763894613100747,0.04147223245724197,0.022771694155913513,0.020962948736871212,1.1906644729858824,1.2461112327071557,2,30,4,0,1,,0
