date,ticker,open,high,low,close,volume
2026-03-04,AAPL,264.6499938964844,266.1499938964844,261.4200134277344,262.5199890136719,39803100
2026-03-05,AAPL,260.7900085449219,261.55999755859375,257.25,260.2900085449219,49658600
2026-03-06,AAPL,258.6300048828125,258.7699890136719,254.3699951171875,257.4599914550781,41120000
2026-03-09,AAPL,255.69000244140625,261.1499938964844,253.67999267578125,259.8800048828125,38218500
2026-03-10,AAPL,257.6499938964844,262.4800109863281,256.95001220703125,260.8299865722656,30537200
2026-03-04,MSFT,401.2699890136719,411.0299987792969,400.30999755859375,405.20001220703125,35808000
2026-03-05,MSFT,404.4200134277344,411.6099853515625,404.3999938964844,410.67999267578125,39001300
2026-03-06,MSFT,409.20001220703125,413.04998779296875,408.510009765625,408.9599914550781,31123900
2026-03-09,MSFT,404.9200134277344,410.2099914550781,403.5,409.4100036621094,30131900
2026-03-10,MSFT,410.0299987792969,410.20001220703125,402.92999267578125,405.760009765625,31655300
2026-03-04,GOOGL,302.6769571429086,305.2551289128473,300.5384478137644,302.9167785644531,29536200
2026-03-05,GOOGL,302.82681905445145,303.08661540637286,297.78035344585857,300.6683349609375,35752300
2026-03-06,GOOGL,295.88171424137005,300.31859339921897,294.97235071392555,298.30999755859375,25576900
2026-03-09,GOOGL,294.3599853515625,306.79998779296875,294.0799865722656,306.3599853515625,29312100
2026-03-10,GOOGL,306.1700134277344,309.510009765625,305.57000732421875,307.0400085449219,23208800
2026-03-04,GOOG,302.4719130675056,305.24495342097674,300.58823031296424,303.23638916015625,20015600
2026-03-05,GOOG,302.9865469194204,303.15641015461176,297.8601537711846,300.6981506347656,22643900
2026-03-06,GOOG,295.863567933826,300.11856607791526,295.0421556163293,298.0899963378906,17598000
2026-03-09,GOOG,294.135009765625,306.5,293.92999267578125,306.010009765625,19632700
2026-03-10,GOOG,305.875,309.1499938964844,305.30999755859375,306.92999267578125,14362200
2026-03-04,META,657.9600219726562,672.77001953125,657.6699829101562,667.72998046875,10810100
2026-03-05,META,661.9299926757812,670.7000122070312,650.3099975585938,660.5700073242188,13341400
2026-03-06,META,647.9000244140625,649.469970703125,636.1099853515625,644.8599853515625,13159400
2026-03-09,META,634.780029296875,647.75,626.780029296875,647.3900146484375,13489700
2026-03-10,META,653.5599975585938,660.2999877929688,649.0,654.0700073242188,9844600
2026-03-04,NVDA,180.44000244140625,184.6999969482422,180.05999755859375,183.0399932861328,177731200
2026-03-05,NVDA,181.1699981689453,184.05999755859375,177.8800048828125,183.33999633789062,198779700
2026-03-06,NVDA,179.83999633789062,182.75999450683594,176.82000732421875,177.82000732421875,189021900
2026-03-09,NVDA,176.8300018310547,182.91000366210938,175.55999755859375,182.64999389648438,177213600
2026-03-10,NVDA,182.39999389648438,186.44000244140625,182.00999450683594,184.77000427246094,178696400
2026-03-04,AVGO,315.67999267578125,322.6400146484375,311.739990234375,317.5299987792969,34895800
2026-03-05,AVGO,330.17999267578125,336.1199951171875,323.0299987792969,332.7699890136719,57076600
2026-03-06,AVGO,328.2799987792969,343.510009765625,327.3999938964844,330.4800109863281,39152200
2026-03-09,AVGO,327.25,348.489990234375,323.6099853515625,345.75,40605800
2026-03-10,AVGO,348.7300109863281,353.1400146484375,340.79998779296875,342.5799865722656,29497500
2026-03-04,CSCO,79.19999694824219,80.95999908447266,78.52999877929688,80.87000274658203,20388100
2026-03-05,CSCO,79.98999786376953,81.16999816894531,79.05000305175781,80.01000213623047,26844800
2026-03-06,CSCO,78.5199966430664,79.5199966430664,78.3499984741211,78.63999938964844,20621200
2026-03-09,CSCO,77.18000030517578,77.55999755859375,75.19999694824219,76.20999908447266,32855900
2026-03-10,CSCO,77.13999938964844,79.01000213623047,77.0999984741211,77.69999694824219,24829200
2026-03-04,ADBE,271.510009765625,276.6700134277344,270.3399963378906,273.1199951171875,4329200
2026-03-05,ADBE,275.3999938964844,285.3599853515625,275.3999938964844,281.739990234375,5822300
2026-03-06,ADBE,280.2799987792969,283.8500061035156,276.04998779296875,283.6199951171875,4802300
2026-03-09,ADBE,281.32000732421875,285.20001220703125,277.8999938964844,282.44000244140625,4728400
2026-03-10,ADBE,281.82000732421875,282.3999938964844,268.3699951171875,275.1300048828125,4587200
2026-03-04,CRM,195.10000610351562,196.47000122070312,192.10000610351562,193.0800018310547,11583700
2026-03-05,CRM,194.36000061035156,204.4199981689453,194.24000549316406,201.38999938964844,15860900
2026-03-06,CRM,200.7899932861328,202.9600067138672,197.3699951171875,202.11000061035156,9657400
2026-03-09,CRM,198.55999755859375,203.6699981689453,195.8699951171875,198.7899932861328,10754800
2026-03-10,CRM,197.25999450683594,199.57000732421875,190.60000610351562,194.91000366210938,14456600
2026-03-04,ORCL,150.00999450683594,153.61000061035156,149.10000610351562,152.3699951171875,17585400
2026-03-05,ORCL,152.58999633789062,157.94000244140625,150.1199951171875,154.7899932861328,24094800
2026-03-06,ORCL,152.9199981689453,159.19000244140625,151.6199951171875,152.9600067138672,38000600
2026-03-09,ORCL,150.6999969482422,152.0,146.42999267578125,151.55999755859375,31173500
2026-03-10,ORCL,153.6199951171875,154.13999938964844,148.4499969482422,149.39999389648438,49937900
2026-03-04,ACN,211.8000030517578,215.5399932861328,208.61000061035156,210.0,5549200
2026-03-05,ACN,209.8000030517578,216.66000366210938,209.3000030517578,214.0,7438800
2026-03-06,ACN,215.2100067138672,218.60000610351562,212.0,215.0,6495300
2026-03-09,ACN,212.83999633789062,215.64999389648438,205.8300018310547,209.36000061035156,7849100
